"","date","value","region","rtw"
"1",1990-01-01,365.5,"AL",TRUE
"2",1990-02-01,362.5,"AL",TRUE
"3",1990-03-01,360.6,"AL",TRUE
"4",1990-04-01,366.6,"AL",TRUE
"5",1990-05-01,366.2,"AL",TRUE
"6",1990-06-01,367.5,"AL",TRUE
"7",1990-07-01,364.6,"AL",TRUE
"8",1990-08-01,364.7,"AL",TRUE
"9",1990-09-01,364.9,"AL",TRUE
"10",1990-10-01,363.4,"AL",TRUE
"11",1990-11-01,361.2,"AL",TRUE
"12",1990-12-01,359.9,"AL",TRUE
"13",1991-01-01,355.3,"AL",TRUE
"14",1991-02-01,352.8,"AL",TRUE
"15",1991-03-01,351.4,"AL",TRUE
"16",1991-04-01,352.5,"AL",TRUE
"17",1991-05-01,353.8,"AL",TRUE
"18",1991-06-01,354.1,"AL",TRUE
"19",1991-07-01,354.8,"AL",TRUE
"20",1991-08-01,356.2,"AL",TRUE
"21",1991-09-01,355.1,"AL",TRUE
"22",1991-10-01,355.5,"AL",TRUE
"23",1991-11-01,355.9,"AL",TRUE
"24",1991-12-01,355.5,"AL",TRUE
"25",1992-01-01,356.8,"AL",TRUE
"26",1992-02-01,356.3,"AL",TRUE
"27",1992-03-01,356.6,"AL",TRUE
"28",1992-04-01,355.3,"AL",TRUE
"29",1992-05-01,355.7,"AL",TRUE
"30",1992-06-01,356.3,"AL",TRUE
"31",1992-07-01,355.3,"AL",TRUE
"32",1992-08-01,357,"AL",TRUE
"33",1992-09-01,356.9,"AL",TRUE
"34",1992-10-01,359,"AL",TRUE
"35",1992-11-01,359.4,"AL",TRUE
"36",1992-12-01,359.8,"AL",TRUE
"37",1993-01-01,360.3,"AL",TRUE
"38",1993-02-01,361.5,"AL",TRUE
"39",1993-03-01,361.2,"AL",TRUE
"40",1993-04-01,362,"AL",TRUE
"41",1993-05-01,361.3,"AL",TRUE
"42",1993-06-01,361.9,"AL",TRUE
"43",1993-07-01,359.5,"AL",TRUE
"44",1993-08-01,358.8,"AL",TRUE
"45",1993-09-01,357.6,"AL",TRUE
"46",1993-10-01,357,"AL",TRUE
"47",1993-11-01,356.4,"AL",TRUE
"48",1993-12-01,356.2,"AL",TRUE
"49",1994-01-01,354,"AL",TRUE
"50",1994-02-01,354.9,"AL",TRUE
"51",1994-03-01,356.2,"AL",TRUE
"52",1994-04-01,357.7,"AL",TRUE
"53",1994-05-01,359.4,"AL",TRUE
"54",1994-06-01,360.8,"AL",TRUE
"55",1994-07-01,362.2,"AL",TRUE
"56",1994-08-01,364.7,"AL",TRUE
"57",1994-09-01,367,"AL",TRUE
"58",1994-10-01,367.5,"AL",TRUE
"59",1994-11-01,368.9,"AL",TRUE
"60",1994-12-01,370.3,"AL",TRUE
"61",1995-01-01,372.1,"AL",TRUE
"62",1995-02-01,372.9,"AL",TRUE
"63",1995-03-01,373.3,"AL",TRUE
"64",1995-04-01,372.3,"AL",TRUE
"65",1995-05-01,371,"AL",TRUE
"66",1995-06-01,370.9,"AL",TRUE
"67",1995-07-01,369.8,"AL",TRUE
"68",1995-08-01,370.1,"AL",TRUE
"69",1995-09-01,370.5,"AL",TRUE
"70",1995-10-01,367.4,"AL",TRUE
"71",1995-11-01,367.9,"AL",TRUE
"72",1995-12-01,367.4,"AL",TRUE
"73",1996-01-01,366.3,"AL",TRUE
"74",1996-02-01,366.3,"AL",TRUE
"75",1996-03-01,364.9,"AL",TRUE
"76",1996-04-01,363.6,"AL",TRUE
"77",1996-05-01,362.1,"AL",TRUE
"78",1996-06-01,361.2,"AL",TRUE
"79",1996-07-01,360.7,"AL",TRUE
"80",1996-08-01,359.7,"AL",TRUE
"81",1996-09-01,360.1,"AL",TRUE
"82",1996-10-01,361.5,"AL",TRUE
"83",1996-11-01,361.9,"AL",TRUE
"84",1996-12-01,361.1,"AL",TRUE
"85",1997-01-01,363.5,"AL",TRUE
"86",1997-02-01,363.7,"AL",TRUE
